relative_path,lane_case,scenario_group,file_name,extension,role,size_bytes,modified_iso
1lane/02h00m00.stt,1lane,,02h00m00.stt,.stt,AIMSUN2 network state file,6397,2002-06-08 00:01:22
1lane/10-1090/00h10m00.EST,1lane,10-1090,00h10m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:22
1lane/10-1090/00h20m00.EST,1lane,10-1090,00h20m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:22
1lane/10-1090/00h30m00.EST,1lane,10-1090,00h30m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:22
1lane/10-1090/00h40m00.EST,1lane,10-1090,00h40m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:22
1lane/10-1090/00h50m00.EST,1lane,10-1090,00h50m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:22
1lane/10-1090/01h00m00.EST,1lane,10-1090,01h00m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:22
1lane/10-1090/01h10m00.EST,1lane,10-1090,01h10m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:22
1lane/10-1090/01h20m00.EST,1lane,10-1090,01h20m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:22
1lane/10-1090/01h30m00.EST,1lane,10-1090,01h30m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:22
1lane/10-1090/01h40m00.EST,1lane,10-1090,01h40m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:22
1lane/10-1090/01h50m00.EST,1lane,10-1090,01h50m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:22
1lane/10-1090/02h00m00.EST,1lane,10-1090,02h00m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:22
1lane/10-1090/ActionsMess,1lane,10-1090,ActionsMess,,AIMSUN2 message/action control file,412,2002-06-08 00:01:22
1lane/10-1090/GLOBAL.EST,1lane,10-1090,GLOBAL.EST,.EST,AIMSUN2 global statistics/output file,6046,2002-06-08 00:01:22
1lane/10-1090/Incidents,1lane,10-1090,Incidents,,AIMSUN2 incident definition file,50,2002-06-08 00:01:22
1lane/10-1090/VMSMessages,1lane,10-1090,VMSMessages,,AIMSUN2 message/action control file,63,2002-06-08 00:01:22
1lane/10-1090/VehTypesColors,1lane,10-1090,VehTypesColors,,AIMSUN2 vehicle type display/support file,280,2002-06-08 00:01:22
1lane/10-2080/00h10m00.EST,1lane,10-2080,00h10m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:22
1lane/10-2080/00h20m00.EST,1lane,10-2080,00h20m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:22
1lane/10-2080/00h30m00.EST,1lane,10-2080,00h30m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:22
1lane/10-2080/00h40m00.EST,1lane,10-2080,00h40m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:22
1lane/10-2080/00h50m00.EST,1lane,10-2080,00h50m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:22
1lane/10-2080/01h00m00.EST,1lane,10-2080,01h00m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:22
1lane/10-2080/01h10m00.EST,1lane,10-2080,01h10m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:22
1lane/10-2080/01h20m00.EST,1lane,10-2080,01h20m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:22
1lane/10-2080/01h30m00.EST,1lane,10-2080,01h30m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:22
1lane/10-2080/01h40m00.EST,1lane,10-2080,01h40m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:22
1lane/10-2080/01h50m00.EST,1lane,10-2080,01h50m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:22
1lane/10-2080/02h00m00.EST,1lane,10-2080,02h00m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:22
1lane/10-2080/GLOBAL.EST,1lane,10-2080,GLOBAL.EST,.EST,AIMSUN2 global statistics/output file,6046,2002-06-08 00:01:22
1lane/10-2080/Incidents,1lane,10-2080,Incidents,,AIMSUN2 incident definition file,50,2002-06-08 00:01:22
1lane/10-3070/00h10m00.EST,1lane,10-3070,00h10m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:22
1lane/10-3070/00h20m00.EST,1lane,10-3070,00h20m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:22
1lane/10-3070/00h30m00.EST,1lane,10-3070,00h30m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:22
1lane/10-3070/00h40m00.EST,1lane,10-3070,00h40m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:22
1lane/10-3070/00h50m00.EST,1lane,10-3070,00h50m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:22
1lane/10-3070/01h00m00.EST,1lane,10-3070,01h00m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:22
1lane/10-3070/01h10m00.EST,1lane,10-3070,01h10m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:22
1lane/10-3070/01h20m00.EST,1lane,10-3070,01h20m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:22
1lane/10-3070/01h30m00.EST,1lane,10-3070,01h30m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:22
1lane/10-3070/01h40m00.EST,1lane,10-3070,01h40m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:22
1lane/10-3070/01h50m00.EST,1lane,10-3070,01h50m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:22
1lane/10-3070/02h00m00.EST,1lane,10-3070,02h00m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:22
1lane/10-3070/ActionsMess,1lane,10-3070,ActionsMess,,AIMSUN2 message/action control file,411,2002-06-08 00:01:22
1lane/10-3070/GLOBAL.EST,1lane,10-3070,GLOBAL.EST,.EST,AIMSUN2 global statistics/output file,6046,2002-06-08 00:01:22
1lane/10-3070/Incidents,1lane,10-3070,Incidents,,AIMSUN2 incident definition file,51,2002-06-08 00:01:22
